formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
allure,2236,0.01,macos,30,2232,0.03,99.82110912343471
netcat,2228,0.01,macos,30,2225,0.03,99.86535008976661
golangci-lint,2221,0.01,macos,30,2219,0.03,99.90995047276002
geoip,2214,0.01,macos,30,1220,0.01,55.103884372177056
k3d,2209,0.01,macos,30,2206,0.03,99.86419194205523
prometheus,2208,0.01,macos,30,2197,0.03,99.50181159420289
prettier,2206,0.01,macos,30,1874,0.02,84.95013599274705
ocrmypdf,2187,0.01,macos,30,2187,0.03,100.0
ossp-uuid,2180,0.01,macos,30,713,0.01,32.706422018348626
zbar,2163,0.01,macos,30,2137,0.02,98.79796578825705
ruby-install,2158,0.01,macos,30,2134,0.02,98.88785912882298
lmdb,2155,0.01,macos,30,700,0.01,32.48259860788863
sonar-scanner,2155,0.01,macos,30,2153,0.03,99.90719257540603
vagrant-completion,2155,0.01,macos,30,2079,0.02,96.47331786542924
phpunit,2135,0.01,macos,30,2097,0.02,98.22014051522248
plotutils,2128,0.01,macos,30,29,0.0,1.362781954887218
topgrade,2128,0.01,macos,30,2125,0.02,99.85902255639097
lrzsz,2120,0.01,macos,30,2045,0.02,96.4622641509434
kops,2099,0.01,macos,30,2088,0.02,99.47594092424964
hadoop,2096,0.01,macos,30,1823,0.02,86.97519083969466
poetry,2091,0.01,macos,30,2086,0.02,99.76087996174078
intltool,2087,0.01,macos,30,407,0.0,19.501677048394825
libreplaygain,2080,0.01,macos,30,2,0.0,0.09615384615384616
pwgen,2079,0.01,macos,30,2068,0.02,99.47089947089947
musepack,2074,0.01,macos,30,5,0.0,0.2410800385728062
algol68g,2073,0.01,macos,30,2073,0.02,100.0
jfrog-cli,2069,0.01,macos,30,1975,0.02,95.45674238762687
fdk-aac,2068,0.01,macos,30,554,0.01,26.789168278529978
warrensbox/tap/tfswitch,2061,0.01,macos,30,2042,0.02,99.07811741872877
drud/ddev/ddev,2059,0.01,macos,30,2055,0.02,99.80573093734823
thrift,2042,0.01,macos,30,1637,0.02,80.16650342801175
cppcheck,2024,0.01,macos,30,2010,0.02,99.30830039525692
valgrind --HEAD,2024,0.01,macos,30,2019,0.02,99.75296442687747
lcov,2014,0.01,macos,30,1985,0.02,98.56007944389275
swagger-codegen,2007,0.01,macos,30,1978,0.02,98.55505729945192
pivotal/tap/springboot,2005,0.01,macos,30,1937,0.02,96.60847880299251
shivammathur/php/php@7.4,1995,0.01,macos,30,1994,0.02,99.94987468671678
go@1.14,1993,0.01,macos,30,1499,0.02,75.21324636226794
flex,1980,0.01,macos,30,1612,0.02,81.41414141414141
hashcat,1979,0.01,macos,30,1969,0.02,99.49469429004549
faad2,1973,0.01,macos,30,119,0.0,6.031424227065383
freeimage,1965,0.01,macos,30,198,0.0,10.076335877862595
neo4j,1965,0.01,macos,30,1794,0.02,91.29770992366413
ykpers,1963,0.01,macos,30,688,0.01,35.04839531329598
ykman,1961,0.01,macos,30,1955,0.02,99.6940336562978
hadolint,1958,0.01,macos,30,1955,0.02,99.84678243105209
exploitdb,1957,0.01,macos,30,1919,0.02,98.05825242718447
sops,1951,0.01,macos,30,1923,0.02,98.56483854433624
py2cairo,1944,0.01,macos,30,1637,0.02,84.20781893004116
yara,1942,0.01,macos,30,660,0.01,33.985581874356335
boost-python,1934,0.01,macos,30,1681,0.02,86.91830403309204
check,1934,0.01,macos,30,303,0.0,15.667011375387796
libspiro,1931,0.01,macos,30,30,0.0,1.5535991714137753
snyk/tap/snyk,1930,0.01,macos,30,1930,0.02,100.0
bind,1929,0.01,macos,30,1609,0.02,83.41109383100051
v8@3.15,1922,0.01,macos,30,1915,0.02,99.63579604578564
